score,title,company,location,countries,posted,url,source,department,contract_type,matched,first_seen,flags
48,PMC Lead Piping Engineer (Early MP),Wood,"Abu Dhabi, United Arab Emirates",United Arab Emirates,2026-07-22,https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/31089,wood,,,"United Arab Emirates, piping, engineer",2026-08-21 07:51:25,
48,Lead Piping Engineer,Wood,"Abu Dhabi, United Arab Emirates",United Arab Emirates,2026-07-22,https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/31075,wood,,,"United Arab Emirates, piping, engineer",2026-08-21 07:51:25,
48,HSE Manager,Wood,"Abu Dhabi, United Arab Emirates",United Arab Emirates,2026-07-22,https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/31077,wood,,,"United Arab Emirates, hse, manager",2026-08-21 07:51:25,
48,Executive Assistant to Director,WTS Energy,Saudi Arabia,Saudi Arabia,2026-07-22,https://www.wtsenergy.com/job/executive-assistant-to-director/,wtsenergy,,FULL_TIME,"Saudi Arabia, integrity, operations",2026-08-21 07:56:15,
48,PMC Lead Piping Engineer,Wood,"Abu Dhabi, United Arab Emirates",United Arab Emirates,2026-07-20,https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/31030,wood,,,"United Arab Emirates, piping, engineer",2026-08-21 07:51:25,
48,PMC Lead Process Engineer,Wood,"Abu Dhabi, United Arab Emirates",United Arab Emirates,2026-07-20,https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/31031,wood,,,"United Arab Emirates, process engineer, engineer",2026-08-21 07:51:25,
48,Principal Technical Professional - Telecommunication,KBR,"Al Khobar, Saudi Arabia",Saudi Arabia,2026-07-20,https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Al-Khobar-Saudi-Arabia/Technical-Advisor---Telecommunication_R2120619/apply,kbr,"Engineering, Technology, & Science",Full time,"Saudi Arabia, offshore, project",2026-08-21 09:42:17,
48,Materials Coordinator (Papua LNG),Wood,"Port Moresby, Papua New Guinea",Guinea,2026-07-19,https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/30903,wood,,,"Guinea, lng",2026-08-21 07:51:25,
48,Senior Piping Engineer,Wood,"Midrand, Gauteng, South Africa",South Africa,2026-07-17,https://ehif.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/31015,wood,,,"South Africa, piping, engineer",2026-08-21 07:51:25,
48,IOF Analyst-(Intelligent Oil Field)-Onsite,KBR,"Basra, Iraq",Iraq,2026-07-17,https://kbr.wd5.myworkdayjobs.com/KBR_Careers/job/Basra-Al-Barah-Iraq/IOF-Analyst--Intelligent-Oil-Field--Onsite_R2126720/apply,kbr,Operations Support Group,Full time,"Iraq, instrumentation, operations",2026-08-21 09:42:17,
